coauthor,_freq
ABDUL Quddus,1
ABHIJIT AUTOR BASU,1
ABHIJIT Banerjee,2
ABHIJIT V Banerjee,1
ABIGAEL CJ PEERLESS,1
AC Atkinson,1
AC Bicu,1
AC Case,2
AC Conroy,1
AC Corbett,1
AC Des Marais,1
AC Disdier,1
AC Edward,1
AC Edwards,1
AC Gielen,5
AC Glebbeek,1
AC Hallet,1
AC Harberger,9
AC Harvey,1
AC Kennedy,1
AC Masagu̩,1
AC Muskens,3
AC Nelen,2
AC Richard,1
AC Rola,3
AC Stockman,1
ACCPAB members,1
ACJM Wilthagen,1
ACM De Bonth,1
ACM Dumaij,2
ACM Dumay,1
ACY Ng,2
AD Brandon,7
AD Chesher,1
AD Egidio dos Reis,2
AD Ellerman,1
AD Heyding,1
AD Stein,1
AD Wilkie,1
ADAM Esplin,1
ADAM OSMAN,1
ADAM PREZEWORSKI,1
ADAM PRZEWORSKI,1
ADF Price,2
ADRIEN BLANCHET,2
ADRIEN Verdelhan,1
ADrIAN WoLFBErg,1
AE Harrison,1
AE Khan,1
AE MacNeily,1
AE Oswald,1
AE Othman,1
AE Pusateri,1
AE Roth,12
AE Rubin,2
AEJP Jacobs,1
AF Alesina,1
AF Cottrell,1
AF Newman,2
AF Olshan,1
AF Rositch,1
AF Salam,6
AF Shorrocks,1
AF Webster,1
AFD Avila,1
AFG Dixon,1
AFM Smith,1
AG Atkins,1
AG De Bruyn,2
AG Drabek,1
AG Grenvik,1
AG Guttormsen,1
AG Halunga,1
AG Hart,1
AG Jariwalla,1
AG Mainous 3rd,1
AG Yasser,1
AGC Van Lomwel,1
AGC van Lomwel,2
AGL Romme,1
AH Abrahamovich,1
AH Bentley,3
AH Diercks,1
AH Gelb,1
AH Goodall,1
AH Helmsing,1
AH Kassam,1
AH Kleinknecht,1
AH Lacerda,1
AH Meltzer,2
AH Waterman,1
AH Welsh,4
AH van Zon,1
AHA Scientific Statements,1
AHJ Helmsing,1
AHO van Soest,2
AI Bazlov,1
AI Glotov,1
AI JOSHU,1
AI Kryger,2
AI Rensselaer,1
AI Smith,2
AJ Auerbach,2
AJ Avery,1
AJ Barr,1
AJ Brown,4
AJ Brule,1
AJ Castro-Tirado,2
AJ Clarke,1
AJ Crawford,1
AJ Culyer,2
AJ Fraser,1
AJ Glass,1
AJ Ivinson,1
AJ Kapteyn,3
AJ Mahmood,1
AJ Miller,1
AJ Morgan,1
AJ Naldrett,1
AJ Nederhof,1
AJ Newton,1
AJ O'Malley,1
AJ OSWALD,1
AJ Ortiz,1
AJ Oswald,6
AJ Popay,3
AJ Reid,1
AJ Samanta,1
AJ Schuurman,1
AJ Singh,1
AJ Smith,3
AJ Sutton,12
AJ Tierney,1
AJ Venables,11
AJ Wenig,1
AJ Woodall,1
AJ Xie,1
AJ de Zeeuw,2
AJ-Kotlikoff Auerbach,1
AJG Cairns,1
AJJ Talman,5
AJLJ Caplin,2
AJTM Weeren,1
AK Achleitner,1
AK Agarwal,1
AK Agrawal,1
AK Akulwad,1
AK Basu,2
AK CHOWDHURY,1
AK Campbell,1
AK Chattopadhyay,3
AK Christensen,1
AK Dixit,4
AK Hui,1
AK Kavitha,1
AK MISHRA,1
AK Maity,1
AK Majumder,1
AK Matin,3
AK Meikap,1
AK Pain,1
AK Pan,1
AK Roy,1
AK Sen,119
AK Shiva Kumar,2
AK Sinha,1
AK Srivastava,1
AK Swoboda,2
AK Tamang,1
AKBAR Norman,1
AKM Morshed,2
AKMM Morshed,1
AL Albanese,1
AL Barabasi,1
AL Bovenberg,7
AL Ford,3
AL Hillman,3
AL Jones,1
AL Larsen,1
AL McRee,1
AL Nagar,1
AL Tappu,1
AL Zerkle,1
